,Deuda_TOTAL,Balance_fiscal,Reservas_Internacionales,FBKF,TIIE,Exportaciones,PIB,PIB_PC,Deuda_Externa
1996,6.78767E+11,234454.3,15913.34167,2768150.355,33.60653333,2954543.895,13691780,154237,6.723E+11
1997,6.61833E+11,304779.8,22847.95833,3195460.703,21.90774167,3210479.243,14670705,162859,6.384E+11
1998,8.22392E+11,24776.1,29504.025,3536752.213,26.89055833,3474637.155,15570335,170500,8.145E+11
1999,9.51283E+11,40321.3,30568.775,3697841.063,24.09900833,3711658.988,15991888,172900,8.121E+11
2000,1.0434E+12,132237.9,32408.76667,3879718.875,16.95766667,4278446.525,16812369,179250,7.605E+11
2001,1.12691E+12,117174.4,38844.775,3613902.243,12.8857,4357025.178,16678249,176014,7.4837E+11
2002,1.29893E+12,7669.7,43611.65833,3593829.843,8.167191667,4476350.548,16622268,173144,7.6648E+11
2003,1.43262E+12,419223.1,52856.68333,3656693.933,6.8303,4397039.773,16804592,172794,8.3967E+11
2004,1.60571E+12,650458.9,58914.625,3899108.448,7.144725,4650390.373,17409354,176597,8.922E+11
2005,1.55702E+12,644239.5,62710.13333,4091958.385,9.609008333,4946718.465,17762067,177955,8.7271E+11
2006,1.64133E+12,1019509.3,70322.78333,4483010.923,7.508041667,5377008.045,18607486,183887,7.4452E+11
2007,1.69884E+12,1412918.7,71773.625,4796781.375,7.658591667,5512481.813,19024996,184876,5.7778E+11
2008,1.72947E+12,1298499.4,82393.025,5110059.545,8.2756,5399195.688,19163817,183706,4.3487E+11
2009,3.17242E+12,-1183489.1,78961.36667,4500649.673,5.933658333,4853672.818,18031370,169470,1.25908E+12
2010,3.54309E+12,-1323659.8,102913.575,4781071.14,4.909691667,5973904.28,18989631,175219,1.35398E+12
2011,4.00934E+12,-1400241.8,131679.4,5196455.445,4.823225,6528687.605,19674625,178623,1.61463E+12
2012,4.6923E+12,-1627907.6,157223.4417,5390486.778,4.789866667,7045608.345,20398274,182441,1.68513E+12
2013,5.15845E+12,-1145879.4,169931.6167,5176505.388,4.2823,7235959.975,20591697,181630,1.73185E+12
2014,5.86225E+12,-2964951.6,188160.225,5300647.345,3.51435,7783883.51,21107782,183946,2.15966E+12
2015,7.04491E+12,-3848072.3,187460.0167,5536414.433,3.3162,8331048.138,21647394,186879,2.78912E+12
2016,8.04898E+12,-1662930.8,176378.2333,5567469.608,4.4713,8586587.023,22025297,188316,3.69756E+12
2017,8.47076E+12,1366748.2,173906.8833,5537138.02,7.053008333,8861144.765,22436603,190012,3.7632E+12
2018,9.04281E+12,-2245457.8,173454.15,5572111.53,7.997466667,9439522.363,22873646,191885,4.04875E+12
2019,9.63513E+12,-1290608.6,178603.05,5325239.055,8.316266667,9549423.23,22773433,189298,4.18305E+12
2020,1.13158E+13,-2838237.8,190030.2,4411174.423,5.71995,8879184.288,20942860,172140,5.15045E+12
2021,1.1866E+13,-3063947.1,197194.8833,4873787.238,4.621283333,9508331.858,22149596,181457,4.75287E+12
2022,1.21687E+13,-3161378.4,199203.7083,5238312.068,7.896766667,10412237.64,22939645,186775,4.6361E+12
2023,1.2741E+13,-4920033.3,204047.725,6110855.65,11.4,9658959.923,23638243,191202,4.10961E+12
2024,1.44599E+13,-8931585.6,221456.1,6316434.335,11.09833333,9980285.818,23955408,192311,4.52238E+12
